customer_id;age;gender;item_purchased;category;location;size;color;season;review_rating;product_rating;subscription_status;shipping_type;discount_applied;payment_method;frequency_of_purchases;age_group;total_purchase_amount;total_previous_purchase;total_spending;spending_category;freq_of_puchase_days;customer_segmentation
1;55;Male;Blouse;Clothing;Kentucky;L;Gray;Winter;3,1;average_rated;Yes;Express;Yes;Venmo;Fortnightly;senior;53;14;67;medium_disc_speding;14;loyal
2;19;Male;Sweater;Clothing;Maine;L;Maroon;Winter;3,1;average_rated;Yes;Express;Yes;Cash;Fortnightly;young;64;2;66;medium_disc_speding;14;loyal
3;50;Male;Jeans;Clothing;Massachusetts;S;Maroon;Spring;3,1;average_rated;Yes;Free Shipping;Yes;Credit Card;Weekly;mid_adult;73;23;96;medium_disc_speding;7;loyal
4;21;Male;Sandals;Footwear;Rhode Island;M;Maroon;Spring;3,5;average_rated;Yes;Next Day Air;Yes;PayPal;Weekly;young;90;49;139;high_disc_spending;7;loyal
5;45;Male;Blouse;Clothing;Oregon;M;Turquoise;Spring;2,7;poorly_rated;Yes;Free Shipping;Yes;PayPal;Annually;mid_adult;49;31;80;medium_disc_speding;365;new
6;46;Male;Sneakers;Footwear;Wyoming;M;White;Summer;2,9;poorly_rated;Yes;Standard;Yes;Venmo;Weekly;mid_adult;20;14;34;low_disc_spending;7;loyal
7;63;Male;Shirt;Clothing;Montana;M;Gray;Fall;3,2;average_rated;Yes;Free Shipping;Yes;Cash;Quarterly;senior;85;49;134;high_disc_spending;90;returning
8;27;Male;Shorts;Clothing;Louisiana;L;Charcoal;Winter;3,2;average_rated;Yes;Free Shipping;Yes;Credit Card;Weekly;early_adult;34;19;53;medium_disc_speding;7;loyal
9;26;Male;Coat;Outerwear;West Virginia;L;Silver;Summer;2,6;poorly_rated;Yes;Express;Yes;Venmo;Annually;early_adult;97;8;105;high_disc_spending;365;new
10;57;Male;Handbag;Accessories;Missouri;M;Pink;Spring;4,8;top_rated;Yes;2-Day Shipping;Yes;Cash;Quarterly;senior;31;4;35;low_disc_spending;90;returning
